Time	S	I	R
0.000000	0.999000	0.001000	0.000000
0.090000	0.998672	0.001219	0.000109
0.190000	0.998272	0.001485	0.000243
0.290000	0.997786	0.001809	0.000405
0.390000	0.997193	0.002203	0.000603
0.490000	0.996472	0.002684	0.000845
0.590000	0.995594	0.003267	0.001138
0.690000	0.994527	0.003977	0.001496
0.790000	0.993229	0.004840	0.001931
0.890000	0.991653	0.005887	0.002460
0.990000	0.989739	0.007156	0.003104
1.090000	0.987418	0.008695	0.003887
1.190000	0.984607	0.010556	0.004837
1.290000	0.981206	0.012804	0.005990
1.390000	0.977098	0.015514	0.007388
1.490000	0.972146	0.018772	0.009082
1.590000	0.966192	0.022679	0.011129
1.690000	0.959053	0.027347	0.013600
1.790000	0.950522	0.032901	0.016577
1.890000	0.940372	0.039475	0.020154
1.990000	0.928352	0.047209	0.024439
2.090000	0.914201	0.056244	0.029555
2.190000	0.897654	0.066708	0.035638
2.290000	0.878458	0.078706	0.042836
2.390000	0.856392	0.092303	0.051305
2.490000	0.831291	0.107502	0.061206
2.590000	0.803075	0.124228	0.072697
2.690000	0.771773	0.142303	0.085923
2.790000	0.737551	0.161441	0.101008
2.890000	0.700721	0.181240	0.118039
2.990000	0.661743	0.201195	0.137062
3.090000	0.621207	0.220727	0.158067
3.190000	0.579797	0.239220	0.180983
3.290000	0.538245	0.256076	0.205679
3.390000	0.497271	0.270762	0.231967
3.490000	0.457538	0.282851	0.259610
3.590000	0.419605	0.292060	0.288334
3.690000	0.383904	0.298252	0.317844
3.790000	0.350726	0.301437	0.347837
3.890000	0.320234	0.301749	0.378018
3.990000	0.292472	0.299420	0.408108
4.090000	0.267393	0.294749	0.437858
4.190000	0.244879	0.288073	0.467048
4.290000	0.224767	0.279741	0.495492
4.390000	0.206866	0.270092	0.523042
4.490000	0.190975	0.259446	0.549579
4.590000	0.176891	0.248092	0.575017
4.690000	0.164421	0.236282	0.599298
4.790000	0.153381	0.224234	0.622385
4.890000	0.143606	0.212131	0.644263
4.990000	0.134945	0.200120	0.664935
5.090000	0.127263	0.188323	0.684414
5.190000	0.120442	0.176832	0.702726
5.290000	0.114377	0.165718	0.719906
5.390000	0.108975	0.155032	0.735993
5.490000	0.104157	0.144811	0.751032
5.590000	0.099852	0.135076	0.765071
5.690000	0.096000	0.125841	0.778159
5.790000	0.092548	0.117106	0.790346
5.890000	0.089448	0.108870	0.801682
5.990000	0.086661	0.101123	0.812216
6.090000	0.084151	0.093851	0.821998
6.190000	0.081888	0.087039	0.831072
6.290000	0.079845	0.080669	0.839486
6.390000	0.077997	0.074721	0.847282
6.490000	0.076324	0.069175	0.854501
6.590000	0.074808	0.064009	0.861183
6.690000	0.073432	0.059203	0.867365
6.790000	0.072182	0.054736	0.873082
6.890000	0.071046	0.050588	0.878366
6.990000	0.070012	0.046739	0.883249
7.090000	0.069070	0.043169	0.887760
7.190000	0.068212	0.039862	0.891926
7.290000	0.067429	0.036799	0.895773
7.390000	0.066714	0.033963	0.899323
7.490000	0.066061	0.031339	0.902600
7.590000	0.065464	0.028913	0.905623
7.690000	0.064919	0.026670	0.908412
7.790000	0.064420	0.024596	0.910984
7.890000	0.063963	0.022681	0.913356
7.990000	0.063544	0.020912	0.915544
8.090000	0.063161	0.019279	0.917560
8.190000	0.062809	0.017771	0.919419
8.290000	0.062487	0.016380	0.921133
8.390000	0.062192	0.015096	0.922712
8.490000	0.061921	0.013912	0.924168
8.590000	0.061672	0.012819	0.925509
8.690000	0.061444	0.011811	0.926745
8.790000	0.061234	0.010882	0.927884
8.890000	0.061042	0.010026	0.928933
8.990000	0.060865	0.009236	0.929899
9.090000	0.060703	0.008508	0.930790
9.190000	0.060553	0.007837	0.931610
9.290000	0.060416	0.007219	0.932365
9.390000	0.060290	0.006649	0.933061
9.490000	0.060174	0.006124	0.933702
9.590000	0.060068	0.005640	0.934292
