Time	S	I	R
9.690000	0.059970	0.005194	0.934836
9.790000	0.059880	0.004784	0.935336
9.890000	0.059797	0.004405	0.935797
9.990000	0.059721	0.004057	0.936222
10.090000	0.059651	0.003736	0.936613
10.190000	0.059587	0.003440	0.936973
10.290000	0.059528	0.003168	0.937305
10.390000	0.059473	0.002917	0.937610
10.490000	0.059423	0.002686	0.937891
10.590000	0.059377	0.002473	0.938150
10.690000	0.059334	0.002277	0.938388
10.790000	0.059295	0.002097	0.938608
10.890000	0.059259	0.001931	0.938810
10.990000	0.059226	0.001778	0.938996
11.090000	0.059196	0.001637	0.939167
11.190000	0.059168	0.001507	0.939325
11.290000	0.059142	0.001388	0.939470
11.390000	0.059118	0.001278	0.939604
11.490000	0.059096	0.001176	0.939727
11.590000	0.059076	0.001083	0.939841
11.690000	0.059058	0.000997	0.939945
11.790000	0.059041	0.000918	0.940041
11.890000	0.059025	0.000845	0.940130
11.990000	0.059011	0.000778	0.940211
12.090000	0.058997	0.000716	0.940286
12.190000	0.058985	0.000660	0.940355
12.290000	0.058974	0.000607	0.940419
12.390000	0.058964	0.000559	0.940477
12.490000	0.058954	0.000515	0.940531
12.590000	0.058945	0.000474	0.940581
12.690000	0.058937	0.000436	0.940626
12.790000	0.058930	0.000402	0.940668
12.890000	0.058923	0.000370	0.940707
12.990000	0.058917	0.000341	0.940743
13.090000	0.058911	0.000313	0.940776
13.190000	0.058906	0.000289	0.940806
13.290000	0.058901	0.000266	0.940834
13.390000	0.058896	0.000245	0.940859
13.490000	0.058892	0.000225	0.940883
13.590000	0.058888	0.000207	0.940905
13.690000	0.058885	0.000191	0.940925
13.790000	0.058881	0.000176	0.940943
13.890000	0.058878	0.000162	0.940960
13.990000	0.058876	0.000149	0.940975
14.090000	0.058873	0.000137	0.940990
14.190000	0.058871	0.000126	0.941003
14.290000	0.058869	0.000116	0.941015
14.390000	0.058867	0.000107	0.941026
14.490000	0.058865	0.000099	0.941037
14.590000	0.058863	0.000091	0.941046
14.690000	0.058862	0.000084	0.941055
14.790000	0.058860	0.000077	0.941063
14.890000	0.058859	0.000071	0.941070
14.990000	0.058858	0.000065	0.941077
15.090000	0.058857	0.000060	0.941083
15.190000	0.058855	0.000055	0.941089
15.290000	0.058855	0.000051	0.941095
15.390000	0.058854	0.000047	0.941100
15.490000	0.058853	0.000043	0.941104
15.590000	0.058852	0.000040	0.941108
15.690000	0.058851	0.000037	0.941112
15.790000	0.058851	0.000034	0.941116
15.890000	0.058850	0.000031	0.941119
15.990000	0.058850	0.000029	0.941122
16.090000	0.058849	0.000026	0.941124
16.190000	0.058849	0.000024	0.941127
16.290000	0.058848	0.000022	0.941129
16.390000	0.058848	0.000020	0.941131
16.490000	0.058848	0.000019	0.941133
16.590000	0.058847	0.000017	0.941135
16.690000	0.058847	0.000016	0.941137
16.790000	0.058847	0.000015	0.941138
16.890000	0.058847	0.000014	0.941140
16.990000	0.058846	0.000012	0.941141
17.090000	0.058846	0.000011	0.941142
17.190000	0.058846	0.000011	0.941144
17.290000	0.058846	0.000010	0.941145
17.390000	0.058846	0.000009	0.941145
17.490000	0.058845	0.000008	0.941146
17.590000	0.058845	0.000008	0.941147
17.690000	0.058845	0.000007	0.941148
17.790000	0.058845	0.000006	0.941149
17.890000	0.058845	0.000006	0.941149
17.990000	0.058845	0.000005	0.941150
18.090000	0.058845	0.000005	0.941150
18.190000	0.058845	0.000005	0.941151
18.290000	0.058845	0.000004	0.941151
18.390000	0.058844	0.000004	0.941152
18.490000	0.058844	0.000004	0.941152
18.590000	0.058844	0.000003	0.941152
18.690000	0.058844	0.000003	0.941153
18.790000	0.058844	0.000003	0.941153
18.890000	0.058844	0.000003	0.941153
18.990000	0.058844	0.000002	0.941153
19.090000	0.058844	0.000002	0.941154
19.190000	0.058844	0.000002	0.941154
19.290000	0.058844	0.000002	0.941154
19.390000	0.058844	0.000002	0.941154
19.490000	0.058844	0.000002	0.941154
19.590000	0.058844	0.000001	0.941155
19.690000	0.058844	0.000001	0.941155
19.790000	0.058844	0.000001	0.941155
19.890000	0.058844	0.000001	0.941155
19.990000	0.058844	0.000001	0.941155
20.090000	0.058844	0.000001	0.941155
20.190000	0.058844	0.000001	0.941155
20.290000	0.058844	0.000001	0.941155
20.390000	0.058844	0.000001	0.941155
20.490000	0.058844	0.000001	0.941156
20.590000	0.058844	0.000001	0.941156
20.690000	0.058844	0.000001	0.941156
20.790000	0.058844	0.000001	0.941156
20.890000	0.058844	0.000000	0.941156
20.990000	0.058844	0.000000	0.941156
21.090000	0.058844	0.000000	0.941156
21.190000	0.058844	0.000000	0.941156
21.290000	0.058844	0.000000	0.941156
21.390000	0.058844	0.000000	0.941156
21.490000	0.058844	0.000000	0.941156
21.590000	0.058844	0.000000	0.941156
21.690000	0.058844	0.000000	0.941156
21.790000	0.058844	0.000000	0.941156
21.890000	0.058844	0.000000	0.941156
21.990000	0.058844	0.000000	0.941156
22.090000	0.058844	0.000000	0.941156
22.190000	0.058844	0.000000	0.941156
22.290000	0.058844	0.000000	0.941156
22.390000	0.058844	0.000000	0.941156
22.490000	0.058844	0.000000	0.941156
22.590000	0.058844	0.000000	0.941156
22.690000	0.058844	0.000000	0.941156
22.790000	0.058844	0.000000	0.941156
22.890000	0.058844	0.000000	0.941156
22.990000	0.058844	0.000000	0.941156
23.090000	0.058844	0.000000	0.941156
23.190000	0.058844	0.000000	0.941156
23.290000	0.058844	0.000000	0.941156
23.390000	0.058844	0.000000	0.941156
23.490000	0.058844	0.000000	0.941156
23.590000	0.058844	0.000000	0.941156
23.690000	0.058844	0.000000	0.941156
23.790000	0.058844	0.000000	0.941156
23.890000	0.058844	0.000000	0.941156
23.990000	0.058844	0.000000	0.941156
24.090000	0.058844	0.000000	0.941156
24.190000	0.058844	0.000000	0.941156
24.290000	0.058844	0.000000	0.941156
24.390000	0.058844	0.000000	0.941156
24.490000	0.058844	0.000000	0.941156
24.590000	0.058844	0.000000	0.941156
24.690000	0.058844	0.000000	0.941156
24.790000	0.058844	0.000000	0.941156
24.890000	0.058844	0.000000	0.941156
24.990000	0.058844	0.000000	0.941156
25.090000	0.058844	0.000000	0.941156
25.190000	0.058844	0.000000	0.941156
25.290000	0.058844	0.000000	0.941156
25.390000	0.058844	0.000000	0.941156
25.490000	0.058844	0.000000	0.941156
25.590000	0.058844	0.000000	0.941156
25.690000	0.058844	0.000000	0.941156
25.790000	0.058844	0.000000	0.941156
25.890000	0.058844	0.000000	0.941156
25.990000	0.058844	0.000000	0.941156
26.090000	0.058844	0.000000	0.941156
26.190000	0.058844	0.000000	0.941156
26.290000	0.058844	0.000000	0.941156
26.390000	0.058844	0.000000	0.941156
26.490000	0.058844	0.000000	0.941156
26.590000	0.058844	0.000000	0.941156
26.690000	0.058844	0.000000	0.941156
26.790000	0.058844	0.000000	0.941156
26.890000	0.058844	0.000000	0.941156
26.990000	0.058844	0.000000	0.941156
27.090000	0.058844	0.000000	0.941156
27.190000	0.058844	0.000000	0.941156
27.290000	0.058844	0.000000	0.941156
27.390000	0.058844	0.000000	0.941156
27.490000	0.058844	0.000000	0.941156
27.590000	0.058844	0.000000	0.941156
27.690000	0.058844	0.000000	0.941156
27.790000	0.058844	0.000000	0.941156
27.890000	0.058844	0.000000	0.941156
27.990000	0.058844	0.000000	0.941156
28.090000	0.058844	0.000000	0.941156
28.190000	0.058844	0.000000	0.941156
28.290000	0.058844	0.000000	0.941156
28.390000	0.058844	0.000000	0.941156
28.490000	0.058844	0.000000	0.941156
28.590000	0.058844	0.000000	0.941156
28.690000	0.058844	0.000000	0.941156
28.790000	0.058844	0.000000	0.941156
28.890000	0.058844	0.000000	0.941156
28.990000	0.058844	0.000000	0.941156
29.090000	0.058844	0.000000	0.941156
29.190000	0.058844	0.000000	0.941156
29.290000	0.058844	0.000000	0.941156
29.390000	0.058844	0.000000	0.941156
29.490000	0.058844	0.000000	0.941156
29.590000	0.058844	0.000000	0.941156
29.690000	0.058844	0.000000	0.941156
29.790000	0.058844	0.000000	0.941156
29.890000	0.058844	0.000000	0.941156
29.990000	0.058844	0.000000	0.941156
