Time	S	I	R
13.890000	0.535749	0.049011	0.415241
13.990000	0.531858	0.048044	0.420099
14.090000	0.528072	0.047069	0.424859
14.190000	0.524390	0.046088	0.429522
14.290000	0.520811	0.045103	0.434086
14.390000	0.517332	0.044115	0.438552
14.490000	0.513954	0.043127	0.442919
14.590000	0.510672	0.042140	0.447188
14.690000	0.507487	0.041155	0.451357
14.790000	0.504397	0.040175	0.455429
14.890000	0.501398	0.039199	0.459402
14.990000	0.498491	0.038231	0.463278
15.090000	0.495672	0.037270	0.467058
15.190000	0.492939	0.036318	0.470742
15.290000	0.490292	0.035377	0.474332
15.390000	0.487727	0.034446	0.477827
15.490000	0.485243	0.033527	0.481231
15.590000	0.482838	0.032620	0.484542
15.690000	0.480509	0.031727	0.487764
15.790000	0.478256	0.030847	0.490897
15.890000	0.476076	0.029982	0.493943
15.990000	0.473966	0.029131	0.496902
16.090000	0.471926	0.028296	0.499778
16.190000	0.469953	0.027477	0.502570
16.290000	0.468045	0.026673	0.505282
16.390000	0.466201	0.025886	0.507914
16.490000	0.464418	0.025115	0.510467
16.590000	0.462695	0.024360	0.512945
16.690000	0.461030	0.023623	0.515347
16.790000	0.459422	0.022901	0.517677
16.890000	0.457868	0.022197	0.519935
16.990000	0.456367	0.021509	0.522124
17.090000	0.454917	0.020838	0.524245
17.190000	0.453517	0.020184	0.526299
17.290000	0.452166	0.019546	0.528288
17.390000	0.450861	0.018924	0.530215
17.490000	0.449601	0.018319	0.532080
17.590000	0.448385	0.017730	0.533885
17.690000	0.447211	0.017156	0.535632
17.790000	0.446079	0.016599	0.537323
17.890000	0.444986	0.016056	0.538958
17.990000	0.443931	0.015529	0.540540
18.090000	0.442913	0.015017	0.542070
18.190000	0.441932	0.014520	0.543549
18.290000	0.440984	0.014037	0.544979
18.390000	0.440071	0.013568	0.546361
18.490000	0.439190	0.013113	0.547698
18.590000	0.438340	0.012671	0.548989
18.690000	0.437520	0.012243	0.550237
18.790000	0.436729	0.011828	0.551442
18.890000	0.435967	0.011426	0.552607
18.990000	0.435232	0.011036	0.553732
19.090000	0.434523	0.010659	0.554818
19.190000	0.433840	0.010293	0.555868
19.290000	0.433181	0.009938	0.556881
19.390000	0.432546	0.009595	0.557859
19.490000	0.431933	0.009263	0.558804
19.590000	0.431343	0.008942	0.559715
19.690000	0.430774	0.008631	0.560596
19.790000	0.430225	0.008330	0.561445
19.890000	0.429696	0.008039	0.562265
19.990000	0.429187	0.007757	0.563056
20.090000	0.428695	0.007485	0.563819
20.190000	0.428222	0.007222	0.564556
20.290000	0.427766	0.006968	0.565267
20.390000	0.427326	0.006722	0.565952
20.490000	0.426902	0.006484	0.566614
20.590000	0.426494	0.006254	0.567252
20.690000	0.426100	0.006033	0.567867
20.790000	0.425721	0.005818	0.568461
20.890000	0.425356	0.005611	0.569033
20.990000	0.425004	0.005411	0.569585
21.090000	0.424664	0.005218	0.570118
21.190000	0.424337	0.005032	0.570631
21.290000	0.424022	0.004852	0.571126
21.390000	0.423719	0.004678	0.571603
21.490000	0.423427	0.004510	0.572063
21.590000	0.423145	0.004348	0.572507
21.690000	0.422873	0.004192	0.572935
21.790000	0.422612	0.004041	0.573347
21.890000	0.422360	0.003895	0.573745
21.990000	0.422117	0.003755	0.574128
22.090000	0.421884	0.003619	0.574497
22.190000	0.421658	0.003489	0.574853
22.290000	0.421441	0.003362	0.575196
22.390000	0.421232	0.003241	0.575527
22.490000	0.421031	0.003123	0.575846
22.590000	0.420837	0.003010	0.576153
